taxon	D1005	D10074	D10088	D10119	D10122	D1081	D1114	D1220	D1253	D1327	D1359	D1382	D1409	D1433	D1466	D1595	D1611	D1631	D1636	D1651	D1661	D1668	D1688	D1736	D1764	D1778	D1949	D1979	D2005	D2006	D2088	D2179	D2373	D2394	D2508	D2654	D2711	D273	D2758	D2846	D2851	D2906	D3114	D3163	D3197	D32	D3425	D3434	D348	D35	D3657	D3665	D3731	D3737	D3827	D3829	D3913	D3918	D3981	D4144	D4216	D4275	D443	D4907	D4976	D5122	D5419	D5444	D5680	D5884	D5887	D5925	D6007	D6042	D6088	D6124	D6295	D6307	D6376	D6383	D6497	D6511	D6516	D6647	D6689	D6724	D6772	D688	D6993	D7378	D7394	D73	D7452	D7469	D7582	D7709	D7779	D777	D7957	D7995	D8095	D81	D8392	D857	D8714	D8718	D8906	D9006	D9072	D907	D911	D9145	D9164	D927	D940	D9429	D9441	D95	D9637	D9646	D9719	D9834	D994	D9951
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._A3H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_titanicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_venusta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._GFAJ-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._SF2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._AM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._N3-2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	1	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._PA16-9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._SH5A2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_elongata	0	0	3	0	0	0	0	7	0	0	1	27	0	0	0	0	19	0	0	1	2	43	0	0	0	0	5	2	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	9	1	0	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	17	0	0	0	25	0	0	0	1	20	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	6	2	0	1	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_subglaciescola	0	0	5	0	0	0	0	1	0	0	0	10	1	0	0	0	9	0	0	2	4	54	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	4	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	11	0	0	0	0	0	0	1	0	13	0	0	1	0	9	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	4	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._NBT06E8	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._hl-4	0	0	2	0	1	1	0	0	0	0	1	18	0	0	0	0	19	0	0	0	0	60	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	4	0	0	0	0	0	0	0	0	0	4	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	13	0	0	0	15	0	0	0	0	6	3	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._PGE1	0	0	2	0	6	0	0	0	0	0	0	6	4	0	0	0	11	0	0	0	31	127	0	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	1	24	0	1	8	6	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	13	0	0	0	32	0	0	12	0	29	2	0	0	0	6	6	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	4	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._KO116	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	6	139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._Y2R2	0	0	3	0	0	0	0	1	0	0	1	19	0	2	0	0	10	0	0	0	0	30	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	18	0	11	3	2	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	2	2	0	0	2	0	0	0	0	5	0	0	0	0	17	0	0	0	3	0	0	0	0	5	1	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0	2	4	3	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._HG01	0	0	3	0	0	0	0	16	0	0	0	14	2	0	0	3	13	0	0	1	0	49	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	3	0	0	12	0	0	0	0	15	0	0	0	0	10	0	0	0	17	0	0	2	0	5	0	0	0	0	10	10	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	3	51	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_chromatireducens	0	1	1	0	0	0	0	14	3	0	0	2	0	0	0	4	9	0	0	0	0	42	0	0	3	0	4	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	5	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	18	0	0	0	0	9	0	0	0	0	17	0	0	0	14	0	0	1	0	9	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	3	3	0	2	10	3	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_meridiana	0	1	10	0	0	1	0	5	0	0	0	9	5	0	0	0	15	0	0	0	1	175	1	0	4	0	17	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	49	1	1	28	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	6	0	0	3	0	0	0	0	20	0	0	0	0	26	0	0	0	8	0	0	5	3	14	2	0	0	0	6	6	1	0	3	0	0	0	0	0	0	1	0	0	13	0	1	9	1	0	0	76	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_huangheensis	0	3	2	0	0	0	0	6	0	0	0	11	10	0	0	0	7	0	0	0	2	62	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	20	2	0	9	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	8	0	1	2	15	0	0	2	0	7	2	0	0	0	8	8	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	5	2	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_hydrothermalis	0	3	2	0	2	0	0	11	0	0	1	6	2	0	2	0	28	0	0	0	1	76	1	0	4	0	16	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	6	2	0	2	3	0	1	9	2	0	0	0	0	0	0	2	0	1	1	0	0	0	5	0	0	0	3	1	0	0	4	0	0	0	0	21	0	0	0	0	34	0	0	1	33	0	0	7	0	17	3	0	0	0	13	13	0	0	7	0	0	0	0	0	0	1	0	1	12	0	0	10	2	0	0	7	0	0	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_aestuarii	0	4	2	0	4	0	0	2	0	0	0	32	6	0	0	0	23	0	0	7	17	219	0	0	3	0	10	0	0	1	4	0	0	1	0	0	9	0	3	0	0	0	2	0	0	2	54	0	0	11	1	0	0	1	0	1	0	0	0	12	0	0	0	3	7	0	0	0	0	6	0	0	9	0	0	0	1	39	0	0	0	0	49	0	0	0	88	0	0	5	0	27	7	0	0	0	17	17	2	0	10	0	0	0	0	0	0	1	0	0	9	0	0	4	0	0	7	47	3	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_socia	0	5	15	0	3	2	0	12	0	0	0	32	1	2	0	0	39	0	0	0	2	151	0	0	0	0	25	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	4	1	0	3	61	0	0	10	7	0	0	0	0	5	0	0	0	11	2	0	0	2	5	1	0	0	0	9	0	0	21	0	6	0	0	41	0	0	8	0	4	0	0	0	72	0	0	2	3	21	6	0	0	0	11	11	0	0	4	0	0	0	0	3	0	0	0	0	13	0	0	13	0	0	5	15	3	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_beimenensis	0	6	12	0	0	0	0	4	0	0	4	82	12	4	0	2	54	0	0	1	4	347	0	0	5	0	47	0	0	0	2	0	0	5	0	0	0	0	2	0	0	0	13	2	0	3	43	0	0	18	10	0	0	0	0	2	0	0	0	15	7	1	0	0	7	0	0	0	0	12	0	0	7	0	0	0	0	37	0	0	0	0	70	0	4	1	119	0	0	9	0	60	11	0	0	0	19	19	0	0	9	0	0	0	0	0	0	0	1	1	9	0	1	16	0	0	4	27	6	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._BC-M4-5	0	2	7	0	4	1	0	10	0	0	2	29	3	1	0	0	17	0	0	2	1	175	0	0	4	0	31	0	0	1	1	0	0	0	0	0	2	0	5	0	0	0	3	0	0	1	55	0	0	12	4	0	0	0	0	0	0	0	0	4	2	0	0	6	5	0	0	0	0	5	0	1	5	0	0	0	0	15	0	0	0	0	43	1	0	3	39	0	0	4	0	17	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	13	1	0	5	0	1	0	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._THAF12	0	2	0	0	1	0	0	1	1	0	0	21	0	0	0	0	22	0	0	4	0	124	0	0	2	0	8	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	23	0	0	10	5	0	0	0	0	3	0	0	0	3	0	0	0	0	6	0	0	0	1	4	0	0	2	0	0	0	0	9	0	0	0	0	15	0	0	0	25	0	0	6	3	24	3	0	0	0	27	27	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	1	42	4	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._JS92-SW72	0	5	14	0	0	1	0	0	0	0	0	20	4	0	1	1	21	0	0	0	1	128	0	0	7	0	16	0	0	0	1	0	0	4	0	0	22	6	3	0	0	0	7	3	0	0	36	2	1	23	4	0	0	0	0	0	0	0	0	14	0	0	0	3	1	0	0	0	0	3	0	0	13	0	0	1	0	63	0	0	2	0	27	0	2	0	36	0	0	11	0	26	4	0	0	1	7	7	4	0	2	0	0	0	0	0	0	2	0	0	9	0	1	5	0	0	1	0	3	0	1	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._1513	0	5	3	0	2	0	0	1	0	0	0	19	3	0	0	0	9	0	0	0	0	100	1	0	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	28	4	0	10	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	34	0	0	0	0	10	0	0	0	38	0	0	7	0	11	1	0	0	0	6	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	25	2	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._GT	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	12	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	11	0	0	0	0	3	0	0	0	2	0	0	0	0	3	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._THAF5a	1	3	2	0	7	0	0	9	1	0	1	47	1	0	0	2	42	1	4	1	4	150	6	0	6	4	10	0	1	1	0	0	0	3	0	1	1	1	0	2	1	0	8	3	1	1	44	1	2	8	5	0	0	0	2	1	1	1	3	26	0	4	2	5	10	0	3	1	3	5	3	0	10	0	1	0	0	45	0	0	0	0	25	0	1	0	57	4	0	8	0	33	11	0	5	0	30	31	2	0	5	0	2	0	0	0	2	3	1	1	15	0	1	7	0	1	1	14	9	4	1	0	0	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	12	68	127	1	28	9	2	84	2	1	10	485	46	7	4	13	339	2	1	32	212	2263	6	1	54	2	176	11	0	7	17	2	12	28	3	6	53	2	19	2	4	4	44	19	2	33	562	8	77	248	65	5	0	2	1	15	0	14	1	146	10	5	0	16	67	0	8	0	110	66	2	5	105	3	8	5	2	789	0	3	6	0	523	2	6	13	597	0	1	106	15	350	88	1	1	2	191	191	1	0	68	7	1	2	0	7	22	3	1	1	99	22	5	102	18	3	38	428	41	2	0	2	0	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio_dextrinosolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	12	68	127	1	28	9	2	84	2	1	10	485	46	7	4	13	339	2	1	32	207	2263	6	1	54	2	176	11	0	7	17	2	12	28	3	5	49	2	19	2	4	4	44	19	2	33	561	8	75	248	65	5	0	2	1	15	0	14	1	146	10	5	0	16	67	0	7	0	103	66	2	5	105	2	8	5	2	789	0	3	6	0	523	2	6	13	597	0	1	106	15	350	87	1	1	2	191	191	1	0	68	4	1	2	0	7	22	3	1	1	99	22	5	102	18	3	38	410	41	2	0	2	0	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Oceanimonas	0	0	2	0	3	0	0	3	0	0	1	13	1	0	0	0	8	0	0	1	10	126	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	31	0	0	8	1	0	0	0	0	1	0	0	1	3	1	0	0	2	7	0	0	0	5	1	0	0	9	0	0	0	0	22	0	0	0	0	25	0	1	1	38	0	0	7	0	11	5	0	0	0	7	7	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	6	0	2	1	8	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Oceanimonas|s__Oceanimonas_sp._GK1	0	0	2	0	3	0	0	3	0	0	1	13	1	0	0	0	8	0	0	1	10	126	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	31	0	0	8	1	0	0	0	0	1	0	0	1	3	1	0	0	2	7	0	0	0	5	1	0	0	9	0	0	0	0	22	0	0	0	0	25	0	1	1	38	0	0	7	0	11	5	0	0	0	7	7	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	6	0	2	1	8	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Oceanisphaera	0	1	2	0	1	0	0	0	0	0	0	9	0	0	0	3	14	0	0	1	25	70	0	0	3	0	7	3	0	0	0	0	0	3	0	0	4	0	0	0	0	0	2	0	0	0	6	2	6	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	16	0	0	0	0	12	0	0	0	19	0	0	2	4	4	2	0	0	0	5	5	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	21	4	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Oceanisphaera|s__Oceanisphaera_avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Oceanisphaera|s__Oceanisphaera_profunda	0	1	2	0	1	0	0	0	0	0	0	9	0	0	0	3	14	0	0	0	2	70	0	0	3	0	7	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	2	0	0	0	6	1	5	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	16	0	0	0	0	12	0	0	0	19	0	0	2	2	4	2	0	0	0	5	5	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	12	4	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Tolumonas	0	1	4	0	0	0	0	0	0	0	0	13	0	0	0	0	12	0	0	1	9	0	2	0	0	0	3	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	36	0	0	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Tolumonas|s__Tolumonas_auensis	0	1	4	0	0	0	0	0	0	0	0	13	0	0	0	0	12	0	0	1	9	0	2	0	0	0	3	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	36	0	0	0	2	0	0
