Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r392AORYZAE[c],10.60049769,10.43895408,8.011229422,9.147954241,9.243856762,7.500467632,10.41699451,6.877083414,11.51392133,10.47042409,8.119109491,10.8388097,7.447997599,10.44906463,8.745136811,10.47042409,7.818202511,8.718340885,7.828370524,8.551518676,7.816919765,7.312673704,7.186544839,8.926463331,9.993421543,6.925116996,7.816919765,9.711928171,8.634513914,7.887094549,9.371397301,10.01408946,6.255998866,9.144836049,9.915204109,9.047034331,10.33492235,8.959645303,7.351282099,12.59118647,8.956374855,7.92056167,10.55280883,9.690365693,9.157210488,7.8800256,7.24121179,12.98027622,7.598892002
r39iLC915R01163[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r403iLC915R02570[m],,,,,0,,,,0,,0,,0,,,,,,,,,0,,,0,,,,,,,,,0,0,,,,,,,,,,0,,,,
r406[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r40iLC915R03012[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r420ANIDULANSR03115[e],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r421AORYZAE[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r423[e],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r432ANIDULANS[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r441[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r443AORYZAER08715[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r449[e],,-18.71219284,,-18.97133999,,,,,,,-19.05152714,-18.82708315,-19.2481216,-18.47424639,,,-19.1332036,,,-19.03924293,-19.06147368,,-19.17288923,,-19.18282333,,-19.06147368,,,,,,-18.2336066,,,,-18.46731712,-18.90659371,-19.23425083,-18.68528784,-18.7453031,-19.10263173,,-18.8337181,,,,,-18.73270466
r457ANIDULANSR01982[e],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r46[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r473[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r473[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r495[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r519iLC915R05052[c],-67.8799399,-70.21422188,-99.07732288,-25.51898835,-58.94897694,-55.55349314,-65.88044223,-93.83886403,-88.02777994,-70.06232739,-97.58683251,-80.59966834,-99.15100137,-67.10908178,-104.3763857,-68.57117756,-55.54341758,-54.73759781,-97.10396731,-91.57891785,-97.13617257,-55.53776557,-95.5342975,-65.97533589,-80.56206367,-55.74258163,-97.13617257,-62.42600416,-81.58471535,-36.05872074,-25.50905525,-61.92041032,-59.02366468,-25.54063972,-57.83437408,-81.04546724,-64.11639637,-88.39501669,-95.45537621,-72.62745197,-73.59725282,-55.81421143,-66.04863114,-25.48224807,-25.5396733,-97.4027191,-97.98236844,-74.34425366,-108.4210429
r519iLC915R05052[m],-45.76592734,-47.52598039,-44.87578627,0,0,-36.73047571,-41.53844154,-45.52685463,0,-47.89012964,-36.64987462,-54.92065056,-45.20046984,-41.61447377,-33.16572376,-47.88828563,-45.20954258,-36.03590308,-36.694541,0,-36.70396693,-45.05184589,0,-41.48525958,-37.45705364,0,-36.70396693,0,-46.23615703,-44.97923199,0,-39.76261086,-29.39866096,0,-44.0994096,-46.23615703,-41.53337193,-35.89020146,-45.01959259,-43.78477354,0,-45.14424938,-45.71138267,0,0,0,0,-48.0449672,0
