Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r0338iAL1006[c],0.055798014,0.056519766,0.058911476,0.058278018,0.056214606,0.058244831,0.055835836,0.057935572,0.06123068,0.056554099,0.058442368,0.057515939,0.059875629,0.056610801,0.055052951,0.056554099,0.058931142,0.055013076,0.0582702,0.062003111,0.0582702,0.059692736,0.059012997,0.054323005,0.061276657,0.058254884,0.0582702,0.058155556,0.062500217,0.058931142,0.057479532,0.055135445,0.055477006,0.059062104,0.055319821,0.062500217,0.055835836,0.055013076,0.059692736,0.059749026,0.059679642,0.058911476,0.055798014,0.057484551,0.059062104,0.058129548,0.059692736,0.058630165,0.058431761
r0339YCM606[c_m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0344YCM606R00939[c],0.849836339,0.860829047,0.897256183,0.887608247,0.856181277,0.887102786,0.850412384,0.882392593,0.932579008,0.861351955,0.890111394,0.876001342,0.911940794,0.862215562,0.8384886,0.861351955,0.897555702,0.837881265,0.887489169,0.944343589,0.887489169,0.909155228,0.898802402,0.827371093,0.933279269,0.887255896,0.887489169,0.88574308,0.951914796,0.897555702,0.875446838,0.839745019,0.844947194,0.899550329,0.842553184,0.951914796,0.850412384,0.837881265,0.909155228,0.910012551,0.9089558,0.897256183,0.849836339,0.875523274,0.899550329,0.885346958,0.909155228,0.892971649,0.889949841
r0344YCM606R00939[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0346YCM606R02237[c],0.796929461,0.807237815,0.841397165,0.832349865,0.802879393,0.831875872,0.797469645,0.827458914,0.874520955,0.807728169,0.834697178,0.821465553,0.85516758,0.808538011,0.78628818,0.807728169,0.841678038,0.785718655,0.8322382,0.885553127,0.8322382,0.852555431,0.842847124,0.775862797,0.875177621,0.83201945,0.8322382,0.830600815,0.892652986,0.841678038,0.820945569,0.78746638,0.792344692,0.843548489,0.790099722,0.892652986,0.797469645,0.785718655,0.852555431,0.853359381,0.852368418,0.841397165,0.796929461,0.821017247,0.843548489,0.830229354,0.852555431,0.837379367,0.834545682
r0347YCM606R03504[m],0.796929461,0.807237815,0.841397165,0.832349865,0.802879393,0.831875872,0.797469645,0.827458914,0.874520955,0.807728169,0.834697178,0.821465553,0.85516758,0.808538011,0.78628818,0.807728169,0.841678038,0.785718655,0.8322382,0.885553127,0.8322382,0.852555431,0.842847124,0.775862797,0.875177621,0.83201945,0.8322382,0.830600815,0.892652986,0.841678038,0.820945569,0.78746638,0.792344692,0.843548489,0.790099722,0.892652986,0.797469645,0.785718655,0.852555431,0.853359381,0.852368418,0.841397165,0.796929461,0.821017247,0.843548489,0.830229354,0.852555431,0.837379367,0.834545682
r0349YCM606R01993[c],-4.132077307,-4.154504622,-4.706251954,-4.604551183,-4.110376666,-4.796631434,-4.113942395,-4.833869765,-4.621490243,-4.141808219,-4.741605452,-4.620626987,-4.781161822,-4.109119078,-4.217256276,-4.141808219,-4.817839678,-4.606290102,-4.76992391,-4.66758174,-4.775338395,-4.794887556,-4.866419262,-4.220548186,-4.694593459,-4.839285758,-4.775338395,-4.136414448,-4.846965668,-4.76143235,-4.547702745,-4.229826428,-4.199421893,-4.569076765,-3.977981429,-4.846965668,-4.181180586,-4.512777069,-4.790673632,-4.231307002,-4.368069234,-4.776386637,-4.160310662,-4.506988405,-4.581576435,-4.768907614,-4.869641521,-4.216972715,-4.318294223
r0350YCM606R03066[m],0.796929461,0.807237815,0.841397165,0.832349865,0.802879393,0.831875872,0.797469645,0.827458914,0.874520955,0.807728169,0.834697178,0.821465553,0.85516758,0.808538011,0.78628818,0.807728169,0.841678038,0.785718655,0.8322382,0.885553127,0.8322382,0.852555431,0.842847124,0.775862797,0.875177621,0.83201945,0.8322382,0.830600815,0.892652986,0.841678038,0.820945569,0.78746638,0.792344692,0.843548489,0.790099722,0.892652986,0.797469645,0.785718655,0.852555431,0.853359381,0.852368418,0.841397165,0.796929461,0.821017247,0.843548489,0.830229354,0.852555431,0.837379367,0.834545682
r0351YCM606R03067[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0352YCM606R04441[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0353YCM606R05070[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
